Upper,     m=2, n=1, i=50,fi=17,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15373,658265916,     limit=14378,6740322683,     length=1,04449183675837,     
Upper,     m=2, n=1, i=50,fi=17,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15373,658265916,     limit=14378,6740322683,     length=1,48285986452893,     
Upper,     m=2, n=1, i=50,fi=17,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15373,658265916,     limit=14378,6740322683,     length=1,89501794908188,     
Upper,     m=2, n=1, i=50,fi=18,     band=58,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14918,8396735562,     limit=14378,6740322683,     length=0,530651456706437,     
Upper,     m=2, n=1, i=50,fi=18,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14918,8396735562,     limit=14378,6740322683,     length=1,03767058461696,     
Upper,     m=2, n=1, i=50,fi=18,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14918,8396735562,     limit=14378,6740322683,     length=1,52397517306025,     
Upper,     m=2, n=1, i=50,fi=18,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14918,8396735562,     limit=14378,6740322683,     length=1,98797881278776,     
Upper,     m=2, n=1, i=50,fi=18,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14918,8396735562,     limit=14378,6740322683,     length=2,4278958649829,     
Upper,     m=2, n=1, i=50,fi=19,     band=57,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14495,2857456495,     limit=14378,6740322683,     length=0,459859405385942,     
Upper,     m=2, n=1, i=50,fi=19,     band=58,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14495,2857456495,     limit=14378,6740322683,     length=1,00735470613182,     
Upper,     m=2, n=1, i=50,fi=19,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14495,2857456495,     limit=14378,6740322683,     length=1,5368237010743,     
Upper,     m=2, n=1, i=50,fi=19,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=14495,2857456495,     limit=14378,6740322683,     length=2,04701090953654,     
